train_family,test_family,lambda,delta_pct,wins,tests
WSD-con step,WSD sharp,2,-14.834818739284605,3,3
WSD-con step,WSD sharp,3,-17.009067684414568,3,3
WSD-con step,WSD sharp,5,-19.13839363696296,3,3
WSD-con step,WSD sharp,7,-19.644973055459737,3,3
WSD-con step,WSD sharp,10,-19.058523204137867,3,3
WSD-con step,WSD sharp,14,-17.408723183977813,3,3
WSD-con step,WSD sharp,20,-14.770904393306783,3,3
WSD-con step,WSD sharp,30,-11.273764410298403,3,3
WSD-con step,WSD sharp,50,-7.128176054585678,3,3
WSD-con step,WSD sharp,80,-4.148440447797686,3,3
WSD sharp,WSD-con step,2,65.17077572005351,1,9
WSD sharp,WSD-con step,3,62.12196784615931,1,9
WSD sharp,WSD-con step,5,63.25437627324324,1,9
WSD sharp,WSD-con step,7,66.84292902331892,1,9
WSD sharp,WSD-con step,10,71.19905387648404,1,9
WSD sharp,WSD-con step,14,74.70101701950729,1,9
WSD sharp,WSD-con step,20,77.47223052785569,0,9
WSD sharp,WSD-con step,30,81.54906766807129,0,9
WSD sharp,WSD-con step,50,99.51967292012698,0,9
WSD sharp,WSD-con step,80,131.75481875376863,0,9
Cosine decay,WSD sharp,2,63.03066628684666,1,3
Cosine decay,WSD sharp,3,111.1919112250702,0,3
Cosine decay,WSD sharp,5,174.16720867695932,0,3
Cosine decay,WSD sharp,7,210.54909772459646,0,3
Cosine decay,WSD sharp,10,240.57890477314365,0,3
Cosine decay,WSD sharp,14,260.6540959001946,0,3
Cosine decay,WSD sharp,20,275.32941756200205,0,3
Cosine decay,WSD sharp,30,286.7376233261671,0,3
Cosine decay,WSD sharp,50,296.21963754733326,0,3
Cosine decay,WSD sharp,80,301.92215142126304,0,3
WSD sharp,WSD linear,2,-46.24869903285608,3,3
WSD sharp,WSD linear,3,-46.05164499754471,3,3
WSD sharp,WSD linear,5,-45.87687651108203,3,3
WSD sharp,WSD linear,7,-45.96943244949073,3,3
WSD sharp,WSD linear,10,-45.83971862611461,3,3
WSD sharp,WSD linear,14,-45.25064161536038,3,3
WSD sharp,WSD linear,20,-44.18504472312315,3,3
WSD sharp,WSD linear,30,-42.7354147336548,3,3
WSD sharp,WSD linear,50,-40.8404218967937,3,3
WSD sharp,WSD linear,80,-39.16983129571514,3,3
