estimator,degree,name,worst_offdiag,median_offdiag,mean_offdiag,cosine_to_wsd,wsdcon9_to_wsd
orth_map_retention,1,orth_map_retention_deg1,-0.9772535589153737,-13.604035903007004,-14.059142602111818,-24.02118920061733,-18.8379584730525
orth_map,1,orth_map_deg1,-0.9772535589153737,-13.64225317177915,-13.71252292909365,-24.02118920061733,-20.072542529393452
orth_ls,1,orth_ls_deg1,-0.9772535589153737,-13.658204783253332,-13.671798374565869,-24.02118920061733,-20.075692942858755
orth_map,5,orth_map_deg5,-3.098373719072079,-10.277199024370471,-13.153090947593789,-8.511562707279928,-16.546334533148187
orth_ls,5,orth_ls_deg5,-1.6193528702927342,-12.541695831338881,-13.146220119910204,-14.9078324293255,-16.550059495464676
orth_map_retention,2,orth_map_retention_deg2,-2.7249185632545228,-10.616074666716884,-12.380937891269303,-4.272656284804155,-15.907041112523409
eb_q75,1,eb_q75_deg1,-0.9772535589153737,-10.856849642925122,-10.813808424571453,-3.075769616322873,-15.44005241312896
eb_q75,2,eb_q75_deg2,-0.9772535589153737,-10.856849642925122,-10.813808424571453,-3.075769616322873,-15.44005241312896
eb_q75,3,eb_q75_deg3,-0.9772535589153737,-10.856849642925122,-10.813808424571453,-3.075769616322873,-15.44005241312896
eb_q75,4,eb_q75_deg4,-0.9772535589153737,-10.856849642925122,-10.813808424571453,-3.075769616322873,-15.44005241312896
eb_q75,5,eb_q75_deg5,-0.9772535589153737,-10.856849642925122,-10.813808424571453,-3.075769616322873,-15.44005241312896
orth_ls,3,orth_ls_deg3,0.0,-9.85982332355878,-10.69042674365967,0.0,-17.69683820647786
orth_map,3,orth_map_deg3,0.0,-9.858721128930501,-10.69014725449764,0.0,-17.693521325085076
orth_map_retention,3,orth_map_retention_deg3,0.0,-9.971686082715213,-10.323765924997055,0.0,-15.519181131715085
current_smooth_cap,1,current_smooth_cap_deg1,-0.02555928890361307,-10.856849642925122,-10.096944896851548,-0.0311438195844486,-15.431790755534943
current_smooth_cap,2,current_smooth_cap_deg2,-0.02555928890361307,-10.856849642925122,-10.096944896851548,-0.0311438195844486,-15.431790755534943
current_smooth_cap,3,current_smooth_cap_deg3,-0.02555928890361307,-10.856849642925122,-10.096944896851548,-0.0311438195844486,-15.431790755534943
current_smooth_cap,4,current_smooth_cap_deg4,-0.02555928890361307,-10.856849642925122,-10.096944896851548,-0.0311438195844486,-15.431790755534943
current_smooth_cap,5,current_smooth_cap_deg5,-0.02555928890361307,-10.856849642925122,-10.096944896851548,-0.0311438195844486,-15.431790755534943
orth_map_retention,4,orth_map_retention_deg4,-0.40728682341636774,-8.608709352225755,-8.730319969769523,-0.5207767696260265,-12.933916172874838
orth_map_retention,5,orth_map_retention_deg5,-0.08541155037215716,-8.147400265727612,-8.390142833115155,-0.10066241352483611,-13.123880270473459
orth_ls,4,orth_ls_deg4,0.6420993113773606,-9.730477961405699,-11.292638030131176,-9.113356771291828,-16.142701160928187
orth_map,4,orth_map_deg4,0.6420993113773606,-9.731678751251978,-11.136110292396918,-9.113356771291828,-16.139253304762416
orth_map,2,orth_map_deg2,1.7537399756701284,-10.864181985935591,-12.167360958575212,-17.377593783834996,-18.05153785042842
orth_ls,2,orth_ls_deg2,1.7537399756701284,-10.864838828728718,-12.164612176451493,-17.377593783834996,-18.054884632630678
