cosine_to_wsd,estimator,max_cosine_kappa,max_kappa,mean_offdiag,mean_retention,median_offdiag,worst_offdiag,wsdcon9_to_wsd
-4.272656284804155,legacy_smooth_G_m2,0.008872855850635438,0.05271901553143667,-12.078853252037236,0.3791738178530265,-9.984551704002955,-2.7249185632545228,-15.977747413000229
-9.49567725626207,dct_low_frequency_G_m1,0.19262848047609585,0.19262848047609585,8.297109549382398,0.5597004647218661,-8.408597257183756,304.0081536189173,-21.242167051173862
-19.128455418237905,dct_low_frequency_G_m2,0.03745865568260941,0.06495355617313857,-12.052830812018303,0.37928805957107564,-11.17544838377258,5.801962483904728,-13.862969875862511
-10.071122594991918,dct_low_frequency_G_m3,0.03143763387079196,0.0424062715798785,-12.33351675548878,0.3119021402601701,-10.100336886648382,-2.1776757210280455,-13.282646826735283
-3.5511587553506843,dct_low_frequency_G_m4,0.007032435613721024,0.03094273284126916,-10.0034997126562,0.23410489728569,-9.021103690560018,-1.818302816908372,-11.03650018457657
-4.369554423494626,dct_low_frequency_G_m5,0.01613946182167279,0.024597782695094796,-8.72428631059378,0.21118076449458645,-7.256346560752833,-1.2978156053071437,-11.148695632092156
-1.456408415420481,dct_low_frequency_G_m6,0.0031694780370991635,0.02113865303899678,-7.125268825443135,0.18043682450996426,-6.229239344639889,-0.6632519417491656,-9.722193064361536
-1.9096700872101138,dct_low_frequency_G_m7,0.006981334088170733,0.016992880154439678,-6.421990599404594,0.16362907291124626,-5.7235690964454236,-0.40260575924823866,-8.526382123186723
-0.5664284756309016,dct_low_frequency_G_m8,0.001307562251214135,0.017028085722517468,-5.66688674501455,0.14930160169478257,-5.206863009682916,-0.3957828735683326,-7.870062511011859
-0.9532616718545032,dct_low_frequency_G_m9,0.00326208456491776,0.01675242349551284,-5.319318864035267,0.13131852588535664,-4.0020666245281165,-0.39291589491647166,-7.517153629868986
-0.25077711576818595,dct_low_frequency_G_m10,0.0008095323688928751,0.01670846904190553,-5.02270703393442,0.12487012959345795,-3.2477977856143943,-0.20978527498239918,-7.448329361333897
-0.4909882726440551,dct_low_frequency_G_m11,0.0017390026598459465,0.01359314897559392,-4.515800731834858,0.11109735032326497,-2.553003445679745,-0.3908276026313236,-6.356545864644595
-0.16233630086462578,dct_low_frequency_G_m12,0.0004549639045352359,0.013574333565153883,-4.327740107506595,0.10672856470864578,-2.576260583392146,-0.1353007619935472,-6.176247823749974
-9.49567725626207,dct_retention_target_G_r0p2,0.19262848047609585,0.19262848047609585,7.607126972417191,0.19361086869697827,-8.149133855803527,304.0081536189173,-6.591666767605923
-9.49567725626207,dct_retention_target_G_r0p25,0.19262848047609585,0.19262848047609585,7.547550540651714,0.22488018641575128,-8.587592028499012,304.0081536189173,-7.387200597128214
-10.071122594991918,dct_retention_target_G_r0p25_mmin3,0.03143763387079196,0.0424062715798785,-10.726747326324022,0.1923271606970393,-8.854776266985715,-1.4046988347739358,-7.387200597128214
-10.071122594991918,dct_retention_target_G_r0p2_mmin3,0.03143763387079196,0.0424062715798785,-10.484790792014428,0.17584989909969992,-8.631081742259973,-1.243140684358246,-6.591666767605923
-9.49567725626207,dct_retention_target_G_r0p3,0.19262848047609585,0.19262848047609585,8.527972789159664,0.266142960229471,-7.286906923538361,304.0081536189173,-8.913680836747568
-9.49567725626207,dct_retention_target_G_r0p35,0.19262848047609585,0.19262848047609585,8.366508961693638,0.27430199334216265,-7.741961271039265,304.0081536189173,-9.634241950146494
-10.071122594991918,dct_retention_target_G_r0p35_mmin3,0.03143763387079196,0.0424062715798785,-11.155892340145122,0.21163132592241482,-9.205292066514824,-1.6551862155400645,-9.634241950146494
-10.071122594991918,dct_retention_target_G_r0p3_mmin3,0.03143763387079196,0.0424062715798785,-10.994428512679098,0.2034722928097231,-8.985150165712689,-1.5939356644090112,-8.913680836747568
