scale,split,model,curve,mae,rmse,mape,r2,huber_log
25,train,mpl,cosine_24000.csv,0.004428161196670633,0.0061780661020188745,0.0012760282141012535,0.9985070990529584,0.000146802137831096
25,train,tissue,cosine_24000.csv,0.0033187953966429,0.005643729171545305,0.0009313571945624572,0.9987541716143182,9.357261558507742e-05
25,train,mpl,constant_24000.csv,0.0037603707312746718,0.005397962930365215,0.001053290501489068,0.9986739844944266,0.00010132094162660075
25,train,tissue,constant_24000.csv,0.0019087123858176824,0.005260052883926743,0.00051346784806014,0.9987408744753216,4.768945514823716e-05
25,train,mpl,wsdcon_9.csv,0.002926740201152482,0.003739114158806915,0.0008317163508692558,0.9994707233345141,4.306406021199081e-05
25,train,tissue,wsdcon_9.csv,0.0038334600594413554,0.005171163702811979,0.0010796743294966004,0.9989876705514067,6.618907336247596e-05
25,test,mpl,constant_72000.csv,0.00157954477609431,0.0018837333733256517,0.0004689116033519304,0.9997553133688031,8.27567543669151e-05
25,test,tissue,constant_72000.csv,0.0031272020879822135,0.003641327813881738,0.0009403689366177416,0.9990856953374474,0.0002902968640139753
25,test,mpl,cosine_72000.csv,0.00744444570610409,0.008010402245134832,0.0022394541894598307,0.996623485191632,0.0009532241308370013
25,test,tissue,cosine_72000.csv,0.007906495490273068,0.00863574711875318,0.002395269466601911,0.9960757213128572,0.0010421858189834086
25,test,mpl,wsd_20000_24000.csv,0.0034076874436141467,0.004296753319278532,0.0009985900184694514,0.9992170377318167,9.847619480823988e-05
25,test,tissue,wsd_20000_24000.csv,0.003146442091063871,0.005492869542393589,0.000918745108179583,0.9987204461727932,0.00010725295491738596
25,test,mpl,wsdld_20000_24000.csv,0.0031353852555964625,0.0038269134288983543,0.0009150324632583721,0.9993593568575673,8.430814764059974e-05
25,test,tissue,wsdld_20000_24000.csv,0.002446014530488123,0.004088643374504581,0.0007053263022569923,0.9992687306532874,7.141188043746554e-05
25,test,mpl,wsdcon_3.csv,0.004487155659262821,0.006779201710698755,0.0012851415880233915,0.9982526865936786,8.56706691508263e-05
25,test,tissue,wsdcon_3.csv,0.00787983729009378,0.010732352200836346,0.0022629707444549087,0.9956207117764508,0.00017312423788497052
25,test,mpl,wsdcon_18.csv,0.0025044364080702482,0.0031120189800905576,0.0007054562100371391,0.9996059379114317,3.125842253100869e-05
25,test,tissue,wsdcon_18.csv,0.003443435276950767,0.004151572975989092,0.0009642794658342497,0.9992986972638609,5.098195771895282e-05
100,train,mpl,cosine_24000.csv,0.0032781434121146656,0.0044155736317449176,0.0010674375697959516,0.9993365107705758,0.00011608337109521343
100,train,tissue,cosine_24000.csv,0.0013015290228651562,0.0017709568981486542,0.0004067855420849028,0.9998932726816072,2.1749691602281725e-05
100,train,mpl,constant_24000.csv,0.00184880720379753,0.002068139185361947,0.0005860594848334892,0.9998136632359573,3.639629642578962e-05
100,train,tissue,constant_24000.csv,0.0010714332010058638,0.00142868237528164,0.0003330748491126642,0.9999110777594803,1.571393952188769e-05
100,train,mpl,wsdcon_9.csv,0.004934668732721058,0.006341855329394241,0.0015792051677105078,0.9986414768726747,0.0001284879389456406
100,train,tissue,wsdcon_9.csv,0.00297080530517819,0.006123820676741284,0.0009344509339562051,0.9987332838591697,6.374832153573479e-05
100,test,mpl,constant_72000.csv,0.00477632119245767,0.005665149684685136,0.0015839931370911055,0.9979589862949176,0.0006248002709612388
100,test,tissue,constant_72000.csv,0.0021298955361394394,0.0028704476546570126,0.0006883934065387659,0.9994760107160361,0.00016263457260849408
100,test,mpl,cosine_72000.csv,0.007265216429381582,0.008208896198970797,0.0024508002805512666,0.9969867691415752,0.0010756347559837426
100,test,tissue,cosine_72000.csv,0.006537702635182213,0.0073599298436662795,0.002214753546526029,0.9975777987306275,0.0009531691431316081
100,test,mpl,wsd_20000_24000.csv,0.0037481729251781586,0.0059154018505415094,0.0012262371147146785,0.9986681280537646,0.00014439728463772845
100,test,tissue,wsd_20000_24000.csv,0.002578293408079313,0.004777900021355797,0.0008399991954696233,0.9991311034333287,9.677434709018433e-05
100,test,mpl,wsdld_20000_24000.csv,0.003248417990260636,0.004923543151914954,0.0010564415584443836,0.9990443816188519,0.00011525801265927386
100,test,tissue,wsdld_20000_24000.csv,0.001680650080400398,0.002586288003199109,0.0005370859712376965,0.9997363166132637,4.593519645586323e-05
100,test,mpl,wsdcon_3.csv,0.005669456664023281,0.008895902453919885,0.0018060897896965689,0.9972807726424051,0.00015446944952081037
100,test,tissue,wsdcon_3.csv,0.006677834609701376,0.009504391489327461,0.0021329557449354317,0.9968960541922142,0.00018967954770199373
100,test,mpl,wsdcon_18.csv,0.001381676567853054,0.0019048501903575878,0.0004256499008103849,0.999865638508335,1.671752339659998e-05
100,test,tissue,wsdcon_18.csv,0.003181770753424593,0.0048776866882447485,0.0010008520400721518,0.9991189897392877,6.698958962657855e-05
400,train,mpl,cosine_24000.csv,0.007128557239194432,0.00843199118643952,0.0024751578928690573,0.99783682819912,0.00033711792529272005
400,train,tissue,cosine_24000.csv,0.002134344604316457,0.0027342163504884345,0.000710467579953528,0.999772544482043,5.902842410514409e-05
400,train,mpl,constant_24000.csv,0.0016748649475793844,0.002363050696760466,0.0005507360058279914,0.9997739025007573,3.633473696530246e-05
400,train,tissue,constant_24000.csv,0.0010350437212501224,0.0020565614712776377,0.0003356685072551617,0.9998287490177373,2.01578933785089e-05
400,train,mpl,wsdcon_9.csv,0.006683835526647975,0.008912180676440543,0.0022830096797488916,0.9975865109795741,0.0002029284112315602
400,train,tissue,wsdcon_9.csv,0.0038536667654965467,0.005900994005673584,0.0012989237095106798,0.9989418975751188,0.00010044047340907047
400,test,mpl,constant_72000.csv,0.004119207616763998,0.005414629597750407,0.001454014403259452,0.9983070440687142,0.0005582549366702588
400,test,tissue,constant_72000.csv,0.0015885817605162417,0.0024531796165556,0.0005521732321725532,0.9996524903712539,0.00013621547230831905
400,test,mpl,cosine_72000.csv,0.005614369647639921,0.006916300935284028,0.0020202448487680767,0.998112443379133,0.0008599745321300567
400,test,tissue,cosine_72000.csv,0.008275406596025303,0.009496774918532852,0.0030404919724469318,0.9964411923558176,0.0014107127421949257
400,test,mpl,wsd_20000_24000.csv,0.004698957923013549,0.008002037996134338,0.0016495857264974228,0.9977630820289797,0.0002146939547407308
400,test,tissue,wsd_20000_24000.csv,0.003680517711250883,0.00796621991435696,0.0013002873979342652,0.9977830626371111,0.00017328410755555615
400,test,mpl,wsdld_20000_24000.csv,0.003850449512879239,0.006445155658120064,0.0013389496724915142,0.9984927328626004,0.00016198006689917394
400,test,tissue,wsdld_20000_24000.csv,0.002347197881259357,0.004756785842371348,0.0008126772513260527,0.9991789859147764,9.075454622164772e-05
400,test,mpl,wsdcon_3.csv,0.008172974990715572,0.01347564871567053,0.0027768716926555637,0.9943324023223271,0.0002585578890084154
400,test,tissue,wsdcon_3.csv,0.011995245823800101,0.016469218367615373,0.004133251042243319,0.9915346361918878,0.0004063585797859924
400,test,mpl,wsdcon_18.csv,0.002554111022217273,0.0035791642611005814,0.0008366569226792584,0.9995649653791886,4.862959755993671e-05
400,test,tissue,wsdcon_18.csv,0.004116684642052191,0.005327010416892206,0.001388056975287692,0.999036331525097,0.00010602805630665672
